Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Points,Year
Argentina,4,1,1,2,6,9,4,"2,022"
Australia,3,0,1,2,2,5,1,"2,022"
Belgium,7,6,0,1,16,6,18,"2,022"
Brazil,5,3,1,1,8,3,10,"2,022"
Colombia,4,2,1,1,6,3,7,"2,022"
Costa Rica,3,0,1,2,2,5,1,"2,022"
Croatia,7,4,2,1,14,9,14,"2,022"
Denmark,4,1,3,0,3,2,6,"2,022"
Egypt,3,0,0,3,2,6,0,"2,022"
England,7,3,1,3,12,8,10,"2,022"
France,7,6,1,0,14,6,19,"2,022"
Germany,3,1,0,2,2,4,3,"2,022"
Iceland,3,0,1,2,2,5,1,"2,022"
Iran,3,1,1,1,2,2,4,"2,022"
Japan,4,1,1,2,6,7,4,"2,022"
Mexico,4,2,0,2,3,6,6,"2,022"
Morocco,3,0,1,2,2,4,1,"2,022"
Nigeria,3,1,0,2,3,4,3,"2,022"
Panama,3,0,0,3,2,11,0,"2,022"
Peru,3,1,0,2,2,2,3,"2,022"
Poland,3,1,0,2,2,5,3,"2,022"
Portugal,4,1,2,1,6,6,5,"2,022"
Russia,5,2,2,1,11,7,8,"2,022"
Saudi Arabia,3,1,0,2,2,7,3,"2,022"
Senegal,3,1,1,1,4,4,4,"2,022"
Serbia,3,1,0,2,2,4,3,"2,022"
South Korea,3,1,0,2,3,3,3,"2,022"
Spain,4,1,3,0,7,6,6,"2,022"
Sweden,5,3,0,2,6,4,9,"2,022"
Switzerland,4,1,2,1,5,5,5,"2,022"
Tunisia,3,1,0,2,5,8,3,"2,022"
Uruguay,5,4,0,1,7,3,12,"2,022"
Argentina,7,6,0,1,15,8,18,"2,014"
France,7,5,0,2,16,8,15,"2,014"
Croatia,7,4,2,1,8,7,14,"2,014"
Morocco,7,4,1,2,6,5,13,"2,014"
England,5,3,1,1,13,4,10,"2,014"
Netherlands,5,3,1,1,10,4,10,"2,014"
Portugal,5,3,0,2,12,6,9,"2,014"
Brazil,5,3,0,2,8,3,9,"2,014"
Japan,4,2,0,2,5,4,6,"2,014"
Senegal,4,2,0,2,5,7,6,"2,014"
Australia,4,2,0,2,4,6,6,"2,014"
Switzerland,4,2,0,2,5,9,6,"2,014"
USA,4,1,2,1,3,4,5,"2,014"
Spain,4,1,1,2,9,3,4,"2,014"
Poland,4,1,1,2,3,5,4,"2,014"
South Korea,4,1,1,2,5,8,4,"2,014"
Germany,3,1,1,1,6,5,4,"2,014"
Ecuador,3,1,1,1,4,3,4,"2,014"
Cameroon,3,1,1,1,4,4,4,"2,014"
